U;() the twenty-first letter of the English alphabet, is a cursive form of the letter V, with which it was formerly used interchangeably, both letters being then used both as vowels and consonants. U and V are now, however, differentiated, U being used only as a vowel or semivowel, and V only as a consonant. The true primary vowel sound of U, in Anglo-Saxon, was the sound which it still retains in most of the languages of Europe, that of long oo, as in tool, and short oo, as in wood, answering to the French ou in tour. Etymologically U is most closely related to o, y (vowel), w, and v; as in two, duet, dyad, twice; top, tuft; sop, sup; auspice, aviary. See V, also O and Y.
Uakari;(n.) Same as Ouakari.
Unvote;(v. t.) To reverse or annul by vote, as a former vote.
Unvoweled;(a.) Having no vowel sounds or signs.
Unvulgarize;(v. t.) To divest of vulgarity
Unvulnerable;(a.) Invulnerable.
Unware;(a.) Unaware
Unware;(a.) Happening unexpectedly
Unwares;(adv.) Unawares
Unwarily;(adv.) In an unwary manner.
Unwariness;(n.) The quality or state of being unwary
Unwarm;(v. t.) To lose warmth
Unwarp;(v. t.) To restore from a warped state
Unwarped;(a.) Not warped; hence, not biased; impartial.
Unwarrantable;(a.) Not warrantable
Unwarranted;(a.) Not warranted; being without warrant, authority, or guaranty; unwarrantable.
Unwary;(a.) Not vigilant against danger
Unwary;(a.) Unexpected
Unwashed;(a.) Not washed or cleansed
Unwashen;(a.) Not washed.
Unwayed;(a.) Not used to travel; as, colts that are unwayed.
Unwayed;(a.) Having no ways or roads
Unwearied;(a.) Not wearied; not fatigued or tired; hence, persistent; not tiring or wearying; indefatigable.
Unweary;(v. t.) To cause to cease being weary
Unweave;(v. t.) To unfold; to undo; to ravel, as what has been woven.
Unwedgeable;(a.) Not to be split with wedges.
Unweeting;(a.) Unwitting.
Unweighed;(a.) Not weighed; not pondered or considered; as, an unweighed statement.
Unweighing;(a.) Not weighing or pondering
Unweld;(a.) Alt. of Unweldy
Unweldy;(a.) Unwieldy
Unwell;(a.) Not well
Unwell;(a.) Specifically, ill from menstruation; affected with, or having, catamenial; menstruant.
Unwellness;(n.) Quality or state of being unwell.
Unwemmed;(a.) Not blemished
Unwhole;(a.) Not whole
Unwieldy;(a.) Not easily wielded or carried
Unwild;(v. t.) To tame
Unwill;(v. t.) To annul or reverse by an act of the will.
Unwilled;(a.) Deprived of the faculty of will or volition.
Unwilling;(a.) Not willing; loath; disinclined; reluctant; as, an unwilling servant.
Unwind;(v. t.) To wind off; to loose or separate, as what or convolved; to untwist; to untwine; as, to unwind thread; to unwind a ball of yarn.
Unwind;(v. t.) To disentangle.
Unwind;(v. i.) To be or become unwound
Unwisdom;(n.) Want of wisdom
Unwise;(a.) Not wise; defective in wisdom; injudicious; indiscreet; foolish; as, an unwise man; unwise kings; unwise measures.
Unwisely;(adv.) In an unwise manner
Unwish;(v. t.) To wish not to be
Unwist;(a.) Not known
Unwist;(a.) Not knowing
Unwit;(v. t.) To deprive of wit.
Unwit;(n.) Want of wit or understanding
Unwitch;(v. t.) To free from a witch or witches
Unwitting;(a.) Not knowing
Unwoman;(v. t.) To deprive of the qualities of a woman
Unwonder;(v. t.) To divest of the quality of wonder or mystery
Unwont;(a.) Unwonted
Unwonted;(a.) Not wonted; unaccustomed; unused; not made familiar by practice; as, a child unwonted to strangers.
Unwonted;(a.) Uncommon; unusual; infrequent; rare; as, unwonted changes.
Unwork;(v. t.) To undo or destroy, as work previously done.
Unworldly;(a.) Not worldly
Unwormed;(a.) Not wormed; not having had the worm, or lytta, under the tongue cut out; -- said of a dog.
Unworship;(v. t.) To deprive of worship or due honor
Unworship;(n.) Lack of worship or respect
Unworth;(a.) Unworthy.
Unworth;(n.) Unworthiness.
Unworthy;(a.) Not worthy; wanting merit, value, or fitness; undeserving; worthless; unbecoming; -- often with of.
Unwrap;(v. t.) To open or undo, as what is wrapped or folded.
Unwray;(v. t.) See Unwrie.
Unwreathe;(v. t.) To untwist, uncoil, or untwine, as anything wreathed.
Unwrie;(v. t.) To uncover.
Unwrinkle;(v. t.) To reduce from a wrinkled state
Unwrite;(v. t.) To cancel, as what is written; to erase.
Unwritten;(a.) Not written; not reduced to writing; oral; as, unwritten agreements.
Unwritten;(a.) Containing no writing; blank; as, unwritten paper.
Unwroken;(a.) Not revenged
Unyoke;(v. t.) To loose or free from a yoke.
Unyoke;(v. t.) To part
Unyoked;(a.) Not yet yoked
Unyoked;(a.) Freed or loosed from a yoke.
Unyoked;(a.) Licentious
Unyolden;(a.) Not yielded.
Unzoned;(a.) Not zoned; not bound with a girdle; as, an unzoned bosom.
Up;(adv.) Aloft
Up;(adv.) From a lower to a higher position, literally or figuratively; as, from a recumbent or sitting position; from the mouth, toward the source, of a river; from a dependent or inferior condition; from concealment; from younger age; from a quiet state, or the like; -- used with verbs of motion expressed or implied.
Up;(adv.) In a higher place or position, literally or figuratively; in the state of having arisen; in an upright, or nearly upright, position; standing; mounted on a horse; in a condition of elevation, prominence, advance, proficiency, excitement, insurrection, or the like; -- used with verbs of rest, situation, condition, and the like; as, to be up on a hill; the lid of the box was up; prices are up.
Up;(adv.) To or in a position of equal advance or equality; not short of, back of, less advanced than, away from, or the like; -- usually followed by to or with; as, to be up to the chin in water; to come up with one's companions; to come up with the enemy; to live up to engagements.
Up;(adv.) To or in a state of completion; completely; wholly; quite; as, in the phrases to eat up; to drink up; to burn up; to sum up; etc.; to shut up the eyes or the mouth; to sew up a rent.
Up;(adv.) Aside, so as not to be in use; as, to lay up riches; put up your weapons.
Up;(prep.) From a lower to a higher place on, upon, or along; at a higher situation upon; at the top of.
Up;(prep.) From the coast towards the interior of, as a country; from the mouth towards the source of, as a stream; as, to journey up the country; to sail up the Hudson.
Up;(prep.) Upon.
Up;(n.) The state of being up or above; a state of elevation, prosperity, or the like; -- rarely occurring except in the phrase ups and downs.
Up;(a.) Inclining up; tending or going up; upward; as, an up look; an up grade; the up train.
Upas;(n.) A tree (Antiaris toxicaria) of the Breadfruit family, common in the forests of Java and the neighboring islands. Its secretions are poisonous, and it has been fabulously reported that the atmosphere about it is deleterious. Called also bohun upas.
Upas;(n.) A virulent poison used in Java and the adjacent islands for poisoning arrows. One kind, upas antiar, is, derived from upas tree (Antiaris toxicaria). Upas tieute is prepared from a climbing plant (Strychnos Tieute).
Upbar;(v. t.) To fasten with a bar.
Upbar;(v. t.) To remove the bar or bards of, as a gate; to under.
Upbear;(v. t.) To bear up
Upbind;(v. t.) To bind up.
Upblow;(v. t.) To inflate.
Upblow;(v. i.) To blow up; as, the wind upblows from the sea.
Upbraided;(imp. & p. p.) of Upbraid
Upbraiding;(p. pr. & vb. n.) of Upbraid
Upbraid;(v. t.) To charge with something wrong or disgraceful; to reproach; to cast something in the teeth of; -- followed by with or for, and formerly of, before the thing imputed.
Upbraid;(v. t.) To reprove severely
Upbraid;(v. t.) To treat with contempt.
Upbraid;(v. t.) To object or urge as a matter of reproach
Upbraid;(v. i.) To utter upbraidings.
Upbraid;(n.) The act of reproaching
Upbreak;(v. i.) To break upwards
Upbreak;(n.) A breaking upward or bursting forth
Upbreathe;(v. r.) To breathe up or out
Upbreed;(v. t.) To rear, or bring up; to nurse.
Upbrought;(a.) Brought up
Upbuoyance;(n.) The act of buoying up
Upburst;(n.) The act of bursting upwards; a breaking through to the surface; an upbreak or uprush; as, an upburst of molten matter.
Upcast;(a.) Cast up; thrown upward; as, with upcast eyes.
Upcast;(n.) A cast
Upcast;(n.) The ventilating shaft of a mine out of which the air passes after having circulated through the mine; -- distinguished from the downcast. Called also upcast pit, and upcast shaft.
Upcast;(n.) An upset, as from a carriage.
Upcast;(n.) A taunt
Upcast;(v. t.) To cast or throw up
Upcast;(v. t.) To taunt
Upcaught;(a.) Seized or caught up.
Upcheer;(v. t.) To cheer up.
Upclimb;(v. t. & i.) To climb up
Upcoil;(v. t. & i.) To coil up; to make into a coil, or to be made into a coil.
Upcountry;(adv.) In an upcountry direction; as, to live upcountry.
Upcountry;(a.) Living or situated remote from the seacoast; as, an upcountry residence.
Upcountry;(n.) The interior of the country.
Upcurl;(v. t.) To curl up.
Updive;(v. i.) To spring upward
Updraw;(v. t.) To draw up.
Upend;(v. t.) To end up; to set on end, as a cask.
Upeygan;(n.) The borele.
Upfill;(v. t.) To fill up.
Upflow;(v. i.) To flow or stream up.
Upflung;(a.) Flung or thrown up.
Upgather;(v. t.) To gather up
Upgaze;(v. i.) To gaze upward.
Upgive;(v. t.) To give up or out.
Upgrow;(v. i.) To grow up.
Upgrowth;(n.) The process or result of growing up
Upgush;(n.) A gushing upward.
Upgush;(v. i.) To gush upward.
Uphaf;() imp. of Upheave.
Uphand;(a.) Lifted by the hand, or by both hands; as, the uphand sledge.
Uphang;(v. t.) To hang up.
Uphasp;(v. t.) To hasp or faster up; to close; as, sleep uphasps the eyes.
Upheaped;(a.) Piled up
Upheaval;(n.) The act of upheaving, or the state of being upheaved; esp., an elevation of a portion of the earth's crust.
Upheave;(v. t.) To heave or lift up from beneath
Upheld;() imp. & p. p. of Uphold.
Upher;(n.) A fir pole of from four to seven inches diameter, and twenty to forty feet long, sometimes roughly hewn, used for scaffoldings, and sometimes for slight and common roofs, for which use it is split.
Uphill;(adv.) Upwards on, or as on, a hillside; as, to walk uphill.
Uphill;(a.) Ascending; going up; as, an uphill road.
Uphill;(a.) Attended with labor; difficult; as, uphill work.
Uphilt;(v. t.) To thrust in up to the hilt; as, to uphilt one's sword into an enemy.
Uphoard;(v. t.) To hoard up.
Uphold;(v. t.) To hold up
Uphold;(v. t.) To keep erect
Uphold;(v. t.) To aid by approval or encouragement; to countenance; as, to uphold a person in wrongdoing.
Upholder;(n.) A broker or auctioneer
Upholder;(n.) An undertaker, or provider for funerals.
Upholder;(n.) An upholsterer.
Upholder;(n.) One who, or that which, upholds; a supporter; a defender; a sustainer.
Upholster;(v. t.) To furnish (rooms, carriages, bedsteads, chairs, etc.) with hangings, coverings, cushions, etc.; to adorn with furnishings in cloth, velvet, silk, etc.; as, to upholster a couch; to upholster a room with curtains.
Upholster;(n.) A broker.
Upholster;(n.) An upholsterer.
Upholsterer;(n.) One who provides hangings, coverings, cushions, curtains, and the like; one who upholsters.
Upholstery;(n.) The articles or goods supplied by upholsterers
Uphroe;(n.) Same as Euphroe.
Upland;(n.) High land; ground elevated above the meadows and intervals which lie on the banks of rivers, near the sea, or between hills; land which is generally dry; -- opposed to lowland, meadow, marsh, swamp, interval, and the like.
Upland;(n.) The country, as distinguished from the neighborhood of towns.
Upland;(a.) Of or pertaining to uplands; being on upland; high in situation; as, upland inhabitants; upland pasturage.
Upland;(a.) Pertaining to the country, as distinguished from the neighborhood of towns; rustic; rude; unpolished.
Uplander;(n.) One dwelling in the upland; hence, a countryman; a rustic.
Uplander;(n.) The upland sandpiper.
Uplandish;(a.) Of or pertaining to uplands
Uplandish;(a.) Rude
Uplay;(v. t.) To hoard.
Uplead;(v. t.) To lead upward.
Uplean;(v. i.) To lean or incline upon anything.
Uplifting;(imp. & p. p.) of Uplift
Uplift;(v. t.) To lift or raise aloft; to raise; to elevate; as, to uplift the arm; to uplift a rock.
Uplift;(n.) A raising or upheaval of strata so as to disturb their regularity and uniformity, and to occasion folds, dislocations, and the like.
Up-line;(n.) A line or track leading from the provinces toward the metropolis or a principal terminus
Uplock;(v. t.) To lock up.
Uplook;(v. i.) To look or gaze up.
Upmost;(a.) Highest
Upokororo;(n.) An edible fresh-water New Zealand fish (Prototroctes oxyrhynchus) of the family Haplochitonidae. In general appearance and habits, it resembles the northern lake whitefishes and trout. Called also grayling.
Upon;(prep.) On; -- used in all the senses of that word, with which it is interchangeable.
Uppent;(a.) A Pent up
Upper;(comp.) Being further up, literally or figuratively; higher in place, position, rank, dignity, or the like; superior; as, the upper lip; the upper side of a thing; the upper house of a legislature.
Upper;(n.) The upper leather for a shoe
Uppermost;(a.) Highest in place, position, rank, power, or the like; upmost; supreme.
Uppertendom;(n.) The highest class in society; the upper ten. See Upper ten, under Upper.
Uppile;(v. t.) To pile, or heap, up.
Uppish;(a.) Proud
Upplight;() imp. & p. p. of Uppluck.
Uppluck;(v. t.) To pull or pluck up.
Uppricked;(a.) Upraised
Upprop;(v. t.) To prop up.
Upraise;(v. t.) To raise
Uprear;(v. t.) To raise
Upridged;(a.) Raised up in a ridge or ridges; as, a billow upridged.
Upright;(a.) In an erect position or posture; perpendicular; vertical, or nearly vertical; pointing upward; as, an upright tree.
Upright;(a.) Morally erect; having rectitude; honest; just; as, a man upright in all his ways.
Upright;(a.) Conformable to moral rectitude.
Upright;(a.) Stretched out face upward
Upright;(n.) Something standing upright, as a piece of timber in a building. See Illust. of Frame.
Uprighteously;(adv.) In an upright or just manner.
Uprightly;(adv.) In an upright manner.
Uprightness;(n.) the quality or state of being upright.
Uprise;(v. i.) To rise
Uprise;(v. i.) To have an upward direction or inclination.
Uprise;(n.) The act of rising
Uprising;(n.) Act of rising; also, a steep place; an ascent.
Uprising;(n.) An insurrection
Uprist;(n.) Uprising.
Uprist;() imp. of Uprise. Uprose.
Uproar;(n.) Great tumult
Uproar;(v. t.) To throw into uproar or confusion.
Uproar;(v. i.) To make an uproar.
Uproarious;(a.) Making, or accompanied by, uproar, or noise and tumult; as, uproarious merriment.
Uproll;(v. t.) To roll up.
Uproot;(v. t.) To root up; to tear up by the roots, or as if by the roots; to remove utterly; to eradicate; to extirpate.
Uprouse;(v. t.) To rouse up
Uprun;(v. i.) To run up
Uprush;(v. i.) To rush upward.
Uprush;(n.) Act of rushing upward; an upbreak or upburst; as, an uprush of lava.
Upsarokas;(n. pl.) See Crows.
Upseek;(v. i.) To seek or strain upward.
Upsend;(v. t.) To send, cast, or throw up.
Upset;(v. t.) To set up
Upset;(v. t.) To thicken and shorten, as a heated piece of iron, by hammering on the end.
Upset;(v. t.) To shorten (a tire) in the process of resetting, originally by cutting it and hammering on the ends.
Upset;(v. t.) To overturn, overthrow, or overset; as, to upset a carriage; to upset an argument.
Upset;(v. t.) To disturb the self-possession of; to disorder the nerves of; to make ill; as, the fright upset her.
Upset;(v. i.) To become upset.
Upset;(a.) Set up; fixed; determined; -- used chiefly or only in the phrase upset price; that is, the price fixed upon as the minimum for property offered in a public sale, or, in an auction, the price at which property is set up or started by the auctioneer, and the lowest price at which it will be sold.
Upset;(n.) The act of upsetting, or the state of being upset; an overturn; as, the wagon had an upset.
Upsetting;(a.) Conceited; assuming; as, an upsetting fellow.
Upshoot;(v. i.) To shoot upward.
Upshot;(n.) Final issue
Upside;(n.) The upper side
Upsidown;(adv.) See Upsodown.
Upsitting;(n.) A sitting up of a woman after her confinement, to receive and entertain her friends.
Upskip;(n.) An upstart.
Upsnatch;(v. t.) To snatch up.
Upsoar;(v. i.) To soar or mount up.
Upsodown;(adv.) Upside down.
Upspear;(v. i.) To grow or shoot up like a spear; as, upspearing grass.
Upspring;(v. i.) To spring up.
Upspring;(n.) An upstart.
Upspring;(n.) A spring or leap into the air.
Upspurner;(n.) A spurner or contemner
Upstairs;(adv.) Up the stairs
Upstairs;(a.) Being above stairs; as, an upstairs room.
Upstand;(v. i.) To stand up
Upstare;(v. i.) To stare or stand upward; hence, to be uplifted or conspicuous.
Upstart;(v. i.) To start or spring up suddenly.
Upstart;(n.) One who has risen suddenly, as from low life to wealth, power, or honor; a parvenu.
Upstart;(n.) The meadow saffron.
Upstart;(a.) Suddenly raised to prominence or consequence.
Upstay;(v. t.) To sustain
Upsterte;() imp. & p. p. of Upstart.
Upstir;(n.) Insurrection
Upstream;(adv.) Toward the higher part of a stream
Upstreet;(adv.) Toward the higher part of a street; as, to walk upstreet.
Upstroke;(n.) An upward stroke, especially the stroke, or line, made by a writing instrument when moving upward, or from the body of the writer, or a line corresponding to the part of a letter thus made.
Upsun;(n.) The time during which the sun is up, or above the horizon; the time between sunrise and sunset.
Upswarm;(v. i. & i.) To rise, or cause to rise, in a swarm or swarms.
Upsway;(v. t.) To sway or swing aloft; as, to upsway a club.
Upswell;(v. i.) To swell or rise up.
Upsyturvy;(adv.) Upside down
Uptailsall;() An old game at cards.
Uptailsall;() Revelers
Uptailsall;() Revelry
Uptake;(v. t.) To take into the hand
Uptake;(n.) The pipe leading upward from the smoke box of a steam boiler to the chimney, or smokestack; a flue leading upward.
Uptake;(n.) Understanding
Uptear;(v. t.) To tear up.
Upthrow;(v. t.) To throw up.
Upthrow;(n.) See Throw, n., 9.
Upthunder;(v. i.) To send up a noise like thunder.
Uptie;(v. t.) To tie up.
Uptill;(prep.) To
Uptown;(adv.) To or in the upper part of a town; as, to go uptown.
Uptown;(a.) Situated in, or belonging to, the upper part of a town or city; as, a uptown street, shop, etc.; uptown society.
Uptrace;(v. t.) To trace up or out.
Uptrain;(v. t.) To train up
Up-train;() A train going in the direction of the metropolis or the main terminus.
Up-train;() A train going in the direction conventionally called up.
Upturn;(v. t.) To turn up; to direct upward; to throw up; as, to upturn the ground in plowing.
Upupa;(n.) A genus of birds which includes the common hoopoe.
Upwaft;(v. t.) To waft upward.
Upward;(adv.) Alt. of Upwards
Upwards;(adv.) In a direction from lower to higher; toward a higher place; in a course toward the source or origin; -- opposed to downward; as, to tend or roll upward.
Upwards;(adv.) In the upper parts
Upwards;(adv.) Yet more
Upward;(a.) Directed toward a higher place; as, with upward eye; with upward course.
Upward;(n.) The upper part
Upwhirl;(v. t. & i.) To rise upward in a whirl
Upwind;(v. t.) To wind up.
Upwreath;(v. i.) To rise with a curling motion; to curl upward, as smoke.
Upyat;() imp. of Upgive.
Ur;(n.) Alt. of Ure
Ure;(n.) The urus.
Urachus;(n.) A cord or band of fibrous tissue extending from the bladder to the umbilicus.
Uraemia;(n.) Accumulation in the blood of the principles of the urine, producing dangerous disease.
Uraemic;(a.) Of or pertaining to uraemia; as, uraemic convulsions.
Uraeum;(n.) The posterior half of an animal.
Ural;(a.) Pertaining to, or designating, the Urals, a mountain range between Europe and Asia.
Ural-Altaic;(a.) Of or pertaining to the Urals and the Altai; as the Ural-Altaic, or Turanian, languages.
Urali;(n.) See Curare.
Uralian;(a.) Alt. of Uralic
Uralic;(a.) Of or relating to the Ural Mountains.
Uralite;(n.) Amphibole resulting from the alternation of pyroxene by paramorphism. It is not uncommon in massive eruptive rocks.
Uralitization;(n.) The change of pyroxene to amphibole by paramorphism.
Uramil;(n.) Murexan.
Uranate;(n.) A salt of uranic acid.
Urania;(n.) One of the nine Muses, daughter of Zeus by Mnemosyne, and patron of astronomy.
Urania;(n.) A genus of large, brilliantly colored moths native of the West Indies and South America. Their bright colored and tailed hind wings and their diurnal flight cause them to closely resemble butterflies.
Uranian;(a.) Of or pertaining to the planet Uranus; as, the Uranian year.
Uranic;(a.) Of or pertaining to the heavens
Uranic;(a.) Pertaining to, resembling, or containing uranium; specifically, designating those compounds in which uranium has a valence relatively higher than in uranous compounds.
Uranin;(n.) An alkaline salt of fluorescein, obtained as a brownish red substance, which is used as a dye; -- so called from the peculiar yellowish green fluorescence (resembling that of uranium glass) of its solutions. See Fluorescein.
Uraninite;(n.) A mineral consisting chiefly of uranium oxide with some lead, thorium, etc., occurring in black octahedrons, also in masses with a pitchlike luster; pitchblende.
Uraniscoplasty;(n.) The process of forming an artificial palate.
Uraniscoraphy;(n.) Alt. of Uraniscorrhaphy
Uraniscorrhaphy;(n.) Suture of the palate. See Staphyloraphy.
Uranite;(n.) A general term for the uranium phosphates, autunite, or lime uranite, and torbernite, or copper uranite.
Uranitic;(a.) Of or pertaining to uranium
Uranium;(n.) An element of the chromium group, found in certain rare minerals, as pitchblende, uranite, etc., and reduced as a heavy, hard, nickel-white metal which is quite permanent. Its yellow oxide is used to impart to glass a delicate greenish-yellow tint which is accompanied by a strong fluorescence, and its black oxide is used as a pigment in porcelain painting. Symbol U. Atomic weight 239.
Uran-ocher;(n.) Alt. of Uran-ochre
Uran-ochre;(n.) A yellow, earthy incrustation, consisting essentially of the oxide of uranium, but more or less impure.
Uranographic;(a.) Alt. of Uranographical
Uranographical;(a.) Of or pertaining to uranography; as, an uranographic treatise.
Uranographist;(n.) One practiced in uranography.
Uranography;(n.) A description or plan of the heavens and the heavenly bodies; the construction of celestial maps, globes, etc.; uranology.
Uranolite;(n.) A meteorite or aerolite.
Uranology;(n.) A discourse or treatise on the heavens and the heavenly bodies
Uranometria;(n.) A uranometry.
Uranometry;(n.) A chart or catalogue of fixed stars, especially of stars visible to the naked eye.
Uranoplasty;(n.) The plastic operation for closing a fissure in the hard palate.
Uranoscopy;(n.) Observation of the heavens or heavenly bodies.
Uranoso-;(a.) A combining form (also used adjectively) from uranium; -- used in naming certain complex compounds; as in uranoso-uranic oxide, uranoso-uranic sulphate.
Uranous;(a.) Pertaining to, or containing, uranium; designating those compounds in which uranium has a lower valence as contrasted with the uranic compounds.
Uranus;(n.) The son or husband of Gaia (Earth), and father of Chronos (Time) and the Titans.
Uranus;(n.) One of the primary planets. It is about 1,800,000,000 miles from the sun, about 36,000 miles in diameter, and its period of revolution round the sun is nearly 84 of our years.
Uran-utan;() The orang-utang
Uranyl;(n.) The radical UO2, conveniently regarded as a residue of many uranium compounds.
Urao;(n.) See Trona.
Urare;(n.) Alt. of Urari
Urari;(n.) See Curare.
Urate;(n.) A salt of uric acid; as, sodium urate; ammonium urate.
Uratic;() Of or containing urates; as, uratic calculi.
Urban;(a.) Of or belonging to a city or town; as, an urban population.
Urban;(a.) Belonging to, or suiting, those living in a city; cultivated; polite; urbane; as, urban manners.
Urbane;(a.) Courteous in manners
Urbaniste;(n.) A large and delicious pear or Flemish origin.
Urbanity;(n.) The quality or state of being urbane
Urbanity;(n.) Polite wit
Urbanize;(v. t.) To render urban, or urbane; to refine; to polish.
Urbicolae;(n. pl.) An extensive family of butterflies, including those known as skippers (Hesperiadae).
Urbicolous;(a.) Of or pertaining to a city
Urceolar;(a.) Urceolate.
Urcelate;(a.) Shaped like a pitcher or urn; swelling below, and contrasted at the orifice, as a calyx or corolla.
Urceole;(n.) A vessel for water for washing the hands; also, one to hold wine or water.
Urceoli;(pl. ) of Urceolus
Urceolus;(n.) Any urn-shaped organ of a plant.
Urchin;(n.) A hedgehog.
Urchin;(n.) A sea urchin. See Sea urchin.
Urchin;(n.) A mischievous elf supposed sometimes to take the form a hedgehog.
Urchin;(n.) A pert or roguish child
Urchin;(n.) One of a pair in a series of small card cylinders, arranged around a carding drum; -- so called from its fancied resemblance to the hedgehog.
Urchin;(a.) Rough
Urchon;(n.) The urchin, or hedgehog.
Urdu;(n.) The language more generally called Hindustanee.
Ure;(n.) Use
Ure;(v. t.) To use
Urea;(a.) A very soluble crystalline body which is the chief constituent of the urine in mammals and some other animals. It is also present in small quantity in blood, serous fluids, lymph, the liver, etc.
Ureal;(a.) Of or pertaining to urea; containing, or consisting of, urea; as, ureal deposits.
Ureameter;(n.) An apparatus for the determination of the amount of urea in urine, in which the nitrogen evolved by the action of certain reagents, on a given volume of urine, is collected and measured, and the urea calculated accordingly.
Urechitin;(n.) A glucoside extracted from the leaves of a certain plant (Urechitis suberecta) as a bitter white crystalline substance.
Urechitoxin;(n.) A poisonous glucoside found accompanying urechitin, and extracted as a bitter white crystalline substance.
Uredo;(n.) One of the stages in the life history of certain rusts (Uredinales), regarded at one time as a distinct genus. It is a summer stage preceding the teleutospore, or winter stage. See Uredinales, in the Supplement.
Uredo;(n.) Nettle rash. See Urticaria.
Uredospore;(n.) The thin-walled summer spore which is produced during the so-called Uredo stage of certain rusts. See (in the Supplement) Uredinales, Heter/cious, etc.
Ureide;(n.) Any one of the many complex derivatives of urea; thus, hydantoin, and, in an extended dense, guanidine, caffeine, et., are ureides.
-uret;() A suffix with the same meaning as -ide. See -ide.
Ureter;(n.) The duct which conveys the urine from the kidney to the bladder or cloaca. There are two ureters, one for each kidney.
Ureteritis;(n.) Inflammation of the ureter.
Urethane;(n.) A white crystalline substance, NH2.CO.OC2H5, produced by the action of ammonia on ethyl carbonate. It is used somewhat in medicine as a hypnotic. By extension, any one of the series of related substances of which urethane proper is the type.
Urethra;(n.) The canal by which the urine is conducted from the bladder and discharged.
Urethral;(a.) Of or pertaining to the urethra.
Urethritis;(n.) Inflammation of the urethra.
Urethroplasty;(n.) An operation for the repair of an injury or a defect in the walls of the urethra.
Urethroscope;(n.) An instrument for viewing the interior of the urethra.
Urethroscopy;(n.) Examination of the urethra by means of the urethroscope.
Urethrotome;(n.) An instrument for cutting a urethral stricture.
Urethrotomy;(n.) An incision of the urethra, esp. incision for relief of urethral stricture.
Uretic;(a.) Of or pertaining to the urine; diuretic; urinary; as, uretic medicine.
Urged;(imp. & p. p.) of Urge
Urging;(p. pr. & vb. n.) of Urge
Urge;(v. t.) To press
Urge;(v. t.) To press the mind or will of; to ply with motives, arguments, persuasion, or importunity.
Urge;(v. t.) To provoke
Urge;(v. t.) To press hard upon
Urge;(v. t.) To present in an urgent manner; to press upon attention; to insist upon; as, to urge an argument; to urge the necessity of a case.
Urge;(v. t.) To treat with forcible means; to take severe or violent measures with; as, to urge an ore with intense heat.
Urge;(v. i.) To press onward or forward.
Urge;(v. i.) To be pressing in argument
Urgence;(n.) Urgency.
Urgency;(n.) The quality or condition of being urgent; insistence; pressure; as, the urgency of a demand or an occasion.
Urgent;(a.) Urging; pressing; besetting; plying, with importunity; calling for immediate attention; instantly important.
Urgently;(adv.) In an urgent manner.
Urger;(n.) One who urges.
Uric;(a.) Of or pertaining to urine; obtained from urine; as, uric acid.
Urim;(n.) A part or decoration of the breastplate of the high priest among the ancient Jews, by which Jehovah revealed his will on certain occasions. Its nature has been the subject of conflicting conjectures.
Urinal;(n.) A vessel for holding urine; especially, a bottle or tube for holding urine for inspection.
Urinal;(n.) A place or convenience for urinating purposes.
Urinarium;(n.) A reservoir for urine, etc., for manure.
Urinary;(a.) Of or pertaining to the urine; as, the urinary bladder; urinary excretions.
Urinary;(a.) Resembling, or being of the nature of, urine.
Urinary;(n.) A urinarium; also, a urinal.
Urinate;(v. i.) To discharge urine
Urination;(n.) The act or process of voiding urine
Urinative;(a.) Provoking the flow of urine
Urinator;(n.) One who dives under water in search of something, as for pearls; a diver.
Urine;(n.) In mammals, a fluid excretion from the kidneys; in birds and reptiles, a solid or semisolid excretion.
Urine;(v. i.) To urinate.
Uriniferous;(a.) Bearing or conveying urine; as, uriniferous tubules.
Uriniparous;(a.) Producing or preparing urine; as, the uriniparous tubes in the cortical portion of the kidney.
Urinogenital;(a.) Pertaining to the urinary and genital organs; genitourinary; urogenital; as, the urinogenital canal.
Urinometer;(n.) A small hydrometer for determining the specific gravity of urine.
Urinometry;(n.) The estimation of the specific gravity of urine by the urinometer.
Urinose;(a.) Alt. of Urinous
Urinous;(a.) Of or pertaining to urine, or partaking of its qualities; having the character or odor of urine; similar to urine.
Urite;(n.) One of the segments of the abdomen or post-abdomen of arthropods.
Urith;(n.) The bindings of a hedge.
Urn;(n.) A vessel of various forms, usually a vase furnished with a foot or pedestal, employed for different purposes, as for holding liquids, for ornamental uses, for preserving the ashes of the dead after cremation, and anciently for holding lots to be drawn.
Urn;(n.) Fig.: Any place of burial
Urn;(n.) A measure of capacity for liquids, containing about three gallons and a haft, wine measure. It was haft the amphora, and four times the congius.
Urn;(n.) A hollow body shaped like an urn, in which the spores of mosses are contained; a spore case; a theca.
Urn;(n.) A tea urn. See under Tea.
Urn;(v. t.) To inclose in, or as in, an urn; to inurn.
Urnal;(a.) Of or pertaining to an urn
Urnfuls;(pl. ) of Urnful
Urnful;(n.) As much as an urn will hold
Urn-shaped;(a.) Having the shape of an urn; as, the urn-shaped capsules of some mosses.
Uro-;() A combining form fr. Gr. o'y^ron, urine.
Uro-;() A combining form from Gr. o'yra`, the tail, the caudal extremity.
Urobilin;(n.) A yellow pigment identical with hydrobilirubin, abundant in the highly colored urine of fever, and also present in normal urine. See Urochrome.
Urocele;(n.) A morbid swelling of the scrotum due to extravasation of urine into it.
